"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TXK_MN004","2597","20161012","8.4","3","0"
"TXK_MN004","2597","20161013","10.3","3","0"
"TXK_MN004","2597","20161014","14.8","3","0"
"TXK_MN004","2597","20161015","12.3","3","0"
"TXK_MN004","2597","20161016","18.9","3","0"
"TXK_MN004","2597","20161017","14.8","3","0"
"TXK_MN004","2597","20161018","15.2","3","0"
"TXK_MN004","2597","20161019","10.1","3","0"
"TXK_MN004","2597","20161020","7.6","3","0"
"TXK_MN004","2597","20161021","8.4","3","0"
"TXK_MN004","2597","20161022","8.7","3","0"
"TXK_MN004","2597","20161023","11.2","3","0"
"TXK_MN004","2597","20161024","10","3","0"
"TXK_MN004","2597","20161025","13.6","3","0"
"TXK_MN004","2597","20161026","12.2","3","0"
"TXK_MN004","2597","20161027","12.5","3","0"
"TXK_MN004","2597","20161028","12.3","3","0"
"TXK_MN004","2597","20161029","12.7","3","0"
"TXK_MN004","2597","20161030","11.3","3","0"
"TXK_MN004","2597","20161031","13.4","3","0"
"TXK_MN004","2597","20161101","7.1","3","0"
"TXK_MN004","2597","20161102","8.9","3","0"
"TXK_MN004","2597","20161103","7.6","3","0"
"TXK_MN004","2597","20161104","5.5","3","0"
"TXK_MN004","2597","20161105","7.2","3","0"
"TXK_MN004","2597","20161106","7.4","3","0"
"TXK_MN004","2597","20161107","4.7","3","0"
"TXK_MN004","2597","20161108","3.4","3","0"
"TXK_MN004","2597","20161109","4.1","3","0"
"TXK_MN004","2597","20161110","4","3","0"
"TXK_MN004","2597","20161111","4.2","3","0"
"TXK_MN004","2597","20161112","1.4","3","0"
"TXK_MN004","2597","20161113","2.7","3","0"
"TXK_MN004","2597","20161114","4.5","3","0"
"TXK_MN004","2597","20161115","3.1","3","0"
"TXK_MN004","2597","20161116","9.6","3","0"
"TXK_MN004","2597","20161117","10.5","3","0"
"TXK_MN004","2597","20161118","12.5","3","0"
"TXK_MN004","2597","20161119","6.4","3","0"
"TXK_MN004","2597","20161120","12.1","3","0"
"TXK_MN004","2597","20161121","10.1","3","0"
"TXK_MN004","2597","20161122","9.2","3","0"
"TXK_MN004","2597","20161123","9.6","3","0"
"TXK_MN004","2597","20161124","12.4","3","0"
"TXK_MN004","2597","20161125","7","3","0"
"TXK_MN004","2597","20161126","7.2","3","0"
"TXK_MN004","2597","20161127","7","3","0"
"TXK_MN004","2597","20161128","2.1","3","0"
"TXK_MN004","2597","20161129","1.6","3","0"
"TXK_MN004","2597","20161130","2.1","3","0"
"TXK_MN004","2597","20161201","3.8","3","0"
"TXK_MN004","2597","20161202","5.9","3","0"
"TXK_MN004","2597","20161203","2.6","3","0"
"TXK_MN004","2597","20161204","2.1","3","0"
"TXK_MN004","2597","20161205","0.1","3","0"
"TXK_MN004","2597","20161206","-3","3","0"
"TXK_MN004","2597","20161207","-1.7","3","0"
